iter,solver,kind,import_s,viewer_s,init_s,step_s,render_s,total_s
1,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,177.91
1,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.30
1,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,132.51
1,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,48.53
1,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,60.21
1,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,4.92
2,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,139.54
2,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.12
2,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,126.35
2,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,7.57
2,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,62.04
2,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,4.88
3,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,61.93
3,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,4.92
3,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,142.43
3,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.96
3,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,136.23
3,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,7.91
