t,wall_t,phase,cmd_rot_dps,cmd_des_mmps,shaft_z_mm,shaft_angle_mod60,contact_area_mm2,n_contacts,max_depth_mm,frame_ms,net_fx_N,net_fy_N,net_fz_N,net_tx_Nm,net_ty_Nm,net_tz_Nm,applied_fz_N,applied_tz_Nm
0.0,0.6332,vertical_demo,0.0,0.0,87.5,30.0,0.0,0,0.0,633.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0167,0.7271,vertical_demo,0.0,0.467,87.5,30.0,0.0,0,0.0,30.12,-0.0,0.0,-0.027,0.0,0.0,0.0,0.374,0.0
0.0333,0.7596,vertical_demo,0.0,0.932,87.5,30.0,0.0,0,0.0,28.4,-0.0,0.0,-0.028,0.0,0.0,0.0,0.745,0.0
0.05,0.7915,vertical_demo,0.0,1.391,87.5,30.0,0.0,0,0.0,27.55,0.0,-0.0,-0.028,-0.0,-0.0,0.0,1.113,0.0
0.0667,0.8228,vertical_demo,0.0,1.842,87.5,30.0,0.0,0,0.0,28.27,0.0,0.0,-0.027,0.0,-0.0,-0.0,1.474,0.0
0.0833,0.8642,vertical_demo,0.0,2.283,87.383,30.0,0.0,0,0.0,36.35,-0.0,0.0,-0.026,0.0,0.0,-0.0,1.827,0.0
0.1,1.0315,vertical_demo,0.0,2.712,87.383,30.0,0.0,0,0.0,35.11,-0.0,0.0,-0.026,0.0,0.0,-0.0,2.169,0.0
0.1167,1.0901,vertical_demo,0.0,3.125,87.383,30.0,0.0,0,0.0,34.34,0.0,-0.0,-0.025,-0.0,-0.0,0.0,2.5,0.0
0.1333,1.1291,vertical_demo,0.0,3.521,87.383,30.0,0.0,0,0.0,34.13,0.0,-0.0,-0.024,-0.0,-0.0,0.0,2.817,0.0
0.15,1.1626,vertical_demo,0.0,3.897,87.383,30.0,0.0,0,0.0,29.25,-0.0,0.0,-0.023,-0.0,0.0,0.0,3.117,0.0
0.1667,1.2019,vertical_demo,0.0,4.251,87.383,30.0,0.0,0,0.0,34.25,0.0,0.0,-0.021,0.0,-0.0,-0.0,3.401,0.0
0.1833,1.2334,vertical_demo,0.0,4.582,87.013,30.0,0.0,0,0.0,27.49,-0.0,-0.0,-0.02,-0.0,0.0,0.0,3.665,0.0
0.2,1.2769,vertical_demo,0.0,4.886,87.013,30.0,0.0,0,0.0,39.09,-0.0,0.0,-0.018,0.0,0.0,-0.0,3.909,0.0
0.2167,1.3164,vertical_demo,0.0,5.164,87.013,30.0,0.0,0,0.0,35.84,0.0,0.0,-0.017,0.0,0.0,0.0,4.131,0.0
0.2333,1.3495,vertical_demo,0.0,5.413,87.013,30.0,0.0,0,0.0,29.55,-0.0,-0.0,-0.015,-0.0,0.0,-0.0,4.33,0.0
0.25,1.3927,vertical_demo,0.0,5.631,87.013,30.0,0.0,0,0.0,37.7,0.0,0.0,-0.013,-0.0,-0.0,-0.0,4.505,0.0
0.2667,1.4319,vertical_demo,0.0,5.818,87.013,30.0,0.0,0,0.0,34.84,0.0,-0.0,-0.011,-0.0,-0.0,-0.0,4.654,0.0
0.2833,1.4644,vertical_demo,0.0,5.972,86.464,30.0,0.0,0,0.0,28.95,0.0,0.0,-0.009,0.0,0.0,-0.0,4.778,0.0
0.3,1.5056,vertical_demo,0.0,6.093,86.464,30.0,0.0,0,0.0,36.95,-0.0,-0.0,-0.007,-0.0,0.0,0.0,4.875,0.0
0.3167,1.5444,vertical_demo,0.0,6.18,86.464,30.0,0.0,0,0.0,34.17,-0.0,-0.0,-0.005,-0.0,0.0,0.0,4.944,0.0
0.3333,1.5793,vertical_demo,0.0,6.233,86.464,30.0,0.0,0,0.0,29.75,-0.0,0.0,-0.003,0.0,0.0,0.0,4.986,0.0
