t,wall_t,phase,cmd_rot_dps,cmd_des_mmps,shaft_z_mm,shaft_angle_mod60,contact_area_mm2,n_contacts,max_depth_mm,frame_ms,net_fx_N,net_fy_N,net_fz_N,net_tx_Nm,net_ty_Nm,net_tz_Nm,applied_fz_N,applied_tz_Nm
0.0,0.7129,vertical_demo,0.0,0.0,87.5,30.0,0.0,0,0.0,712.87,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.0167,0.8125,vertical_demo,0.0,0.467,87.5,30.0,0.0,0,0.0,25.68,0.0,0.0,-0.027,0.0,0.0,0.0,0.374,0.0
0.0333,0.8424,vertical_demo,0.0,0.932,87.5,30.0,0.0,0,0.0,25.66,0.0,0.0,-0.028,0.0,0.0,0.0,0.745,0.0
0.05,0.8723,vertical_demo,0.0,1.391,87.5,30.0,0.0,0,0.0,25.58,0.0,0.0,-0.027,0.0,0.0,0.0,1.113,0.0
0.0667,0.9012,vertical_demo,0.0,1.842,87.5,30.0,0.0,0,0.0,26.05,0.0,0.0,-0.027,0.0,0.0,0.0,1.474,0.0
0.0833,0.937,vertical_demo,0.0,2.283,87.383,30.0,0.0,0,0.0,31.56,0.0,0.0,-0.026,0.0,0.0,0.0,1.827,0.0
0.1,1.1101,vertical_demo,0.0,2.712,87.383,30.0,0.0,0,0.0,30.35,0.0,0.0,-0.026,0.0,0.0,0.0,2.169,0.0
0.1167,1.1428,vertical_demo,0.0,3.125,87.383,30.0,0.0,0,0.0,27.26,0.0,0.0,-0.025,0.0,0.0,0.0,2.5,0.0
0.1333,1.1782,vertical_demo,0.0,3.521,87.383,30.0,0.0,0,0.0,30.84,0.0,0.0,-0.024,0.0,0.0,0.0,2.817,0.0
0.15,1.2119,vertical_demo,0.0,3.897,87.383,30.0,0.0,0,0.0,28.32,0.0,0.0,-0.023,0.0,0.0,0.0,3.117,0.0
0.1667,1.2467,vertical_demo,0.0,4.251,87.383,30.0,0.0,0,0.0,30.6,0.0,0.0,-0.021,0.0,0.0,0.0,3.401,0.0
0.1833,1.2771,vertical_demo,0.0,4.582,87.013,30.0,0.0,0,0.0,25.61,0.0,0.0,-0.02,0.0,0.0,0.0,3.665,0.0
0.2,1.3146,vertical_demo,0.0,4.886,87.013,30.0,0.0,0,0.0,32.07,0.0,0.0,-0.018,0.0,0.0,0.0,3.909,0.0
0.2167,1.3449,vertical_demo,0.0,5.164,87.013,30.0,0.0,0,0.0,25.7,0.0,0.0,-0.017,0.0,0.0,0.0,4.131,0.0
0.2333,1.3809,vertical_demo,0.0,5.413,87.013,30.0,0.0,0,0.0,31.5,0.0,0.0,-0.015,0.0,0.0,0.0,4.33,0.0
0.25,1.4142,vertical_demo,0.0,5.631,87.013,30.0,0.0,0,0.0,27.94,0.0,0.0,-0.013,0.0,0.0,0.0,4.505,0.0
0.2667,1.45,vertical_demo,0.0,5.818,87.013,30.0,0.0,0,0.0,31.29,0.0,0.0,-0.011,0.0,0.0,0.0,4.654,0.0
0.2833,1.4817,vertical_demo,0.0,5.972,86.464,30.0,0.0,0,0.0,26.04,0.0,0.0,-0.009,0.0,0.0,0.0,4.778,0.0
0.3,1.517,vertical_demo,0.0,6.093,86.464,30.0,0.0,0,0.0,26.83,0.0,0.0,-0.007,0.0,0.0,0.0,4.875,0.0
0.3167,1.5484,vertical_demo,0.0,6.18,86.464,30.0,0.0,0,0.0,25.86,0.0,0.0,-0.005,0.0,0.0,0.0,4.944,0.0
0.3333,1.584,vertical_demo,0.0,6.233,86.464,30.0,0.0,0,0.0,27.29,0.0,0.0,-0.003,0.0,0.0,0.0,4.986,0.0
0.35,1.6159,vertical_demo,0.0,6.25,86.464,30.0,0.0,0,0.0,26.65,0.0,0.0,-0.001,0.0,0.0,0.0,5.0,0.0
0.3667,1.652,vertical_demo,0.0,6.233,86.464,30.0,0.0,0,0.0,27.94,0.0,0.0,0.001,0.0,0.0,0.0,4.986,0.0
0.3833,1.683,vertical_demo,0.0,6.18,85.844,30.0,0.0,0,0.0,26.67,0.0,0.0,0.003,0.0,0.0,0.0,4.944,0.0
0.4,1.719,vertical_demo,0.0,6.093,85.844,30.0,0.0,0,0.0,27.75,0.0,0.0,0.005,0.0,0.0,0.0,4.875,0.0
0.4167,1.7492,vertical_demo,0.0,5.972,85.844,30.0,0.0,0,0.0,26.2,0.0,0.0,0.007,0.0,0.0,0.0,4.778,0.0
0.4333,1.7845,vertical_demo,0.0,5.818,85.844,30.0,0.0,0,0.0,26.99,0.0,0.0,0.009,0.0,0.0,0.0,4.654,0.0
0.45,1.8223,vertical_demo,0.0,5.631,85.844,30.0,0.0,0,0.0,33.52,0.0,0.0,0.011,0.0,0.0,0.0,4.505,0.0
0.4667,1.8525,vertical_demo,0.0,5.413,85.844,30.0,0.0,0,0.0,26.7,0.0,0.0,0.013,0.0,0.0,0.0,4.33,0.0
0.4833,1.8823,vertical_demo,0.0,5.164,85.277,30.0,0.0,0,0.0,25.73,0.0,0.0,0.015,0.0,0.0,0.0,4.131,0.0
0.5,1.9193,vertical_demo,0.0,4.886,85.277,30.0,0.0,0,0.0,28.27,0.0,0.0,0.017,0.0,0.0,0.0,3.909,0.0
0.5167,1.9495,vertical_demo,0.0,4.582,85.277,30.0,0.0,0,0.0,26.06,0.0,0.0,0.018,0.0,0.0,0.0,3.665,0.0
0.5333,1.9882,vertical_demo,0.0,4.251,85.277,30.0,0.0,0,0.0,29.43,0.0,0.0,0.02,0.0,0.0,0.0,3.401,0.0
0.55,2.0183,vertical_demo,0.0,3.897,85.277,30.0,0.0,0,0.0,25.69,0.0,0.0,0.021,0.0,0.0,0.0,3.117,0.0
0.5667,2.0563,vertical_demo,0.0,3.521,85.277,30.0,0.0,0,0.0,28.86,0.0,0.0,0.023,0.0,0.0,0.0,2.817,0.0
0.5833,2.0943,vertical_demo,0.0,3.125,84.874,30.0,0.0,0,0.0,33.6,0.0,0.0,0.024,0.0,0.0,0.0,2.5,0.0
0.6,2.125,vertical_demo,0.0,2.712,84.874,30.0,0.0,0,0.0,26.77,0.0,0.0,0.025,0.0,0.0,0.0,2.169,0.0
0.6167,2.1608,vertical_demo,0.0,2.283,84.874,30.0,0.0,0,0.0,31.34,0.0,0.0,0.026,0.0,0.0,0.0,1.827,0.0
0.6333,2.192,vertical_demo,0.0,1.842,84.874,30.0,0.0,0,0.0,27.44,0.0,0.0,0.026,0.0,0.0,0.0,1.474,0.0
0.65,2.2275,vertical_demo,0.0,1.391,84.874,30.0,0.0,0,0.0,30.84,0.0,0.0,0.027,0.0,0.0,0.0,1.113,0.0
0.6667,2.2587,vertical_demo,0.0,0.932,84.874,30.0,0.0,0,0.0,27.56,0.0,0.0,0.028,0.0,0.0,0.0,0.745,0.0
0.6833,2.2942,vertical_demo,0.0,0.467,84.716,30.0,0.0,0,0.0,30.69,0.0,0.0,0.028,0.0,0.0,0.0,0.374,0.0
0.7,2.3256,vertical_demo,0.0,-0.0,84.716,30.0,0.0,0,0.0,27.54,0.0,0.0,0.028,0.0,0.0,0.0,-0.0,0.0
0.7167,2.361,vertical_demo,0.0,-0.467,84.716,30.0,0.0,0,0.0,30.84,0.0,0.0,0.028,0.0,0.0,0.0,-0.374,0.0
0.7333,2.3915,vertical_demo,0.0,-0.932,84.716,30.0,0.0,0,0.0,26.87,0.0,0.0,0.028,0.0,0.0,0.0,-0.745,0.0
0.75,2.4266,vertical_demo,0.0,-1.391,84.716,30.0,0.0,0,0.0,30.62,0.0,0.0,0.027,0.0,0.0,0.0,-1.113,0.0
0.7667,2.4585,vertical_demo,0.0,-1.842,84.716,30.0,0.0,0,0.0,28.43,0.0,0.0,0.027,0.0,0.0,0.0,-1.474,0.0
0.7833,2.4951,vertical_demo,0.0,-2.283,84.833,30.0,0.0,0,0.0,30.72,0.0,0.0,0.026,0.0,0.0,0.0,-1.827,0.0
0.8,2.5358,vertical_demo,0.0,-2.712,84.833,30.0,0.0,0,0.0,25.85,0.0,0.0,0.026,0.0,0.0,0.0,-2.169,0.0
0.8167,2.5665,vertical_demo,0.0,-3.125,84.833,30.0,0.0,0,0.0,26.19,0.0,0.0,0.025,0.0,0.0,0.0,-2.5,0.0
0.8333,2.6014,vertical_demo,0.0,-3.521,84.833,30.0,0.0,0,0.0,26.91,0.0,0.0,0.024,0.0,0.0,0.0,-2.817,0.0
0.85,2.6318,vertical_demo,0.0,-3.897,84.833,30.0,0.0,0,0.0,25.89,0.0,0.0,0.023,0.0,0.0,0.0,-3.117,0.0
0.8667,2.6675,vertical_demo,0.0,-4.251,84.833,30.0,0.0,0,0.0,27.33,0.0,0.0,0.021,0.0,0.0,0.0,-3.401,0.0
0.8833,2.698,vertical_demo,0.0,-4.582,85.203,30.0,0.0,0,0.0,26.32,0.0,0.0,0.02,0.0,0.0,0.0,-3.665,0.0
0.9,2.7359,vertical_demo,0.0,-4.886,85.203,30.0,0.0,0,0.0,32.67,0.0,0.0,0.018,0.0,0.0,0.0,-3.909,0.0
